country_code,country_name,wiki_language_code,language_name,prop_language
AF,Afghanistan,fa,Persian,0.5
AF,Afghanistan,ps,Pashto,0.35
AR,Argentina,es,Spanish,1
AU,Australia,en,English,0.76
AT,Austria,de,German,0.88
BE,Belgium,nl,Dutch,0.6
BE,Belgium,fr,French,0.4
BR,Brazil,pt,Portuguese,1
CA,Canada,en,English,0.58
CA,Canada,fr,French,0.22
CN,China,zh,Chinese,1
CO,Colombia,es,Spanish,1
CR,Costa Rica,es,Spanish,1
HR,Croatia,hr,Croatian,0.95
CY,Cyprus,el,Greek,0.8
DK,Denmark,da,Danish,1
FI,Finland,fi,Finnish,0.89
FR,France,fr,French,1
DE,Germany,de,German,1
GR,Greece,el,Greek,0.99
HK,Hong Kong,zh_yue,Cantonese,0.89
HU,Hungary,hu,Hungarian,1
IN,India,hi,Hindi,0.41
ID,Indonesia,id,Indonesian,1
IE,Ireland,en,English,0.62
IE,Ireland,ga,Irish,0.38
IL,Israel,he,Hebrew,1
IT,Italy,it,Italian,1
JP,Japan,ja,Japanese,1
MY,Malaysia,ms,Malay,1
MX,Mexico,es,Spanish,1
NL,Netherlands,nl,Dutch,1
NZ,New Zealand,en,English,0.89
NU,Niue,NA,Niuean,0.78
NO,Norway,no,Norwegian,1
PH,Philippines,NA,Filipino,0.5
PH,Philippines,en,English,0.5
PL,Poland,pl,Polish,0.98
PT,Portugal,pt,Portuguese,1
RO,Romania,ro,Romanian,0.85
RU,Russia,ru,Russian,0.85
SG,Singapore,zh,Chinese,0.36
SG,Singapore,en,English,0.29
ZA,South Africa,zu,Zulu,0.22
KR,South Korea,ko,Korean,1
ES,Spain,es,Spanish,0.74
SE,Sweden,sv,Swedish,1
CH,Switzerland,de,German,0.63
CH,Switzerland,fr,French,0.22
TW,Taiwan,zh,Chinese,1
TH,Thailand,th,Thai,0.9
TR,Turkey,tr,Turkish,1
AE,United Arab Emirates,ar,Arabic,1
GB,United Kingdom,en,English,1
US,United States,en,English,0.79
VN,Vietnam,vi,Vietnamese,1
