language_code,language_name,family,n_participants,es_iat_sex_age_order_implicit_resid,es_iat_sex_age_order_explicit_resid,median_country_age,per_women_stem_2012_2017,lang_es_sub,lang_es_wiki,mean_prop_distinct_occs,subt_occu_semantics_fm,wiki_occu_semantics_fm
ar,Arabic,Afro-Asiatic,581,-0.025488311990359933,0.37042204790141237,30.3,18.175216666666667,-0.24156040854373365,0.6401106934261812,0,-0.01179077082554974,-0.02017098090260551
da,Danish,Indo-European,1036,0.0275685054556807,-0.015130537944125909,42.2,12.480726,1.2042953172398156,0.8529126320382712,0.36250000000000004,0.025935585729905817,0.04679907435383114
de,German,Indo-European,2498.3333333333335,0.019599449050896514,0.2684290183826774,44.5,12.456546666666666,0.992986925106306,0.6739625897709844,0.8875,0.050113805464056416,0.08955255222132665
en,English,Indo-European,101725.83333333333,-0.0029174860259230584,-0.02653318029264081,39.03333333333333,11.647911166666667,0.6024799736072142,0.6318636760358308,0.15000000000000002,0.004274526291251299,0.03524272066776357
es,Spanish,Indo-European,791.5,-0.0236428983821061,-0.10433662344867062,33.175,13.68766775,0.2671657876925714,0.22224175277361607,0.85,0.025112497156056856,0.023132613424980752
fa,Persian,Indo-European,863,-0.020319208107144795,0.049844864762140124,18.8,NaN,0.4418009470980321,0.49883581163000396,0,0.006264368761100263,0.026195312519066555
fi,Finnish,Uralic,1145,-0.0012318740502568653,-0.19517772426574545,42.5,12.957786,0.5106173735150114,0.18935989962689492,0.050000000000000044,0.006596813016982348,0.010088448612508644
fr,French,Indo-European,2705,-0.006405966233272553,0.05082979535342962,41.4,13.687458,0.3365737916402037,0.3378306029011467,0.5,0.05892392415175281,0.03861718829521181
he,Hebrew,Afro-Asiatic,758,0.023339602498192974,0.14392612489767995,29.9,NaN,0.7519501953937823,0.4704146073229067,0.85,0.06479704948957996,0.07163904382774816
hi,Hindi,Indo-European,4341,-0.059543297161397744,0.035288648338090214,27.9,25.875145,NA,0.42007754201856345,0.050000000000000044,NA,0.04190928947411779
hr,Croatian,Indo-European,603,0.006843921634415922,-0.33669347123245175,43,14.6808725,NA,0.05715559112046045,0.7125,NA,0.022980491678730505
id,Indonesian,Austronesian,401,-0.053660942824779304,0.08529998258308912,30.2,13.529744999999998,0.5408289970801315,-0.12378950346358272,0,-0.002039495716808129,0.003590874485632489
it,Italian,Indo-European,1114,0.02312918217578112,0.24977244067426868,45.5,15.902095999999998,0.12446168054688916,0.6633728072961491,0.6,0.031198867152881633,0.06721375673437703
ja,Japanese,Japonic,1240,0.01837221713385687,-0.057305103416553434,47.3,NaN,NA,0.0643881856540085,0.09999999999999998,NA,-3.256586612354617e-5
ko,Korean,Koreanic,854,-0.0068116016621206435,-0.1451239665484513,41.8,15.241724999999999,0.31419020750652094,0.26179782290171394,0.052631578947368474,0.0065827239339696555,0.037423372627676615
ms,Malay,Austronesian,887,-0.03734987682721718,-0.013323080043276023,28.5,21.699205,-0.2960500480216925,0.009029411441934046,0,-0.03364673567722739,0.0038008002450194713
nl,Dutch,Indo-European,2529,0.03765461941024417,0.1550649092405259,42,6.837654499999999,0.5579296515199147,0.8091716142918051,0.4625,0.027641147447256084,0.06455589109445999
no,Norwegian,Indo-European,1357,-0.02489874767198652,-0.28215741330358574,39.2,9.210424,0.9063098524567017,0.5910439521647035,0.19166666666666665,-0.006871358796833143,-0.0057175530445946155
pl,Polish,Indo-European,670,-0.01842782150885679,-0.017376997111489767,40.7,13.254754,-0.09698227604102083,-0.07770125423896067,0.8,0.028124402947521616,0.055200149133936977
pt,Portuguese,Indo-European,1431,0.03221032239677631,-0.14380917724491626,32,8.6388475,0.5348206706205818,0.40094139264450024,0.9,0.02571579450880754,0.056676163018312416
ro,Romanian,Indo-European,481,0.007978577268914502,0.04663752647595598,41.1,19.675815,0.6639642204315502,0.585753239505771,0.95,0.021569010220192145,0.03974095539716892
sv,Swedish,Indo-European,2169,-0.02060511444003361,-0.25519413020373233,41.2,14.3675675,0.3929363517259634,0.8219340280695795,0.32499999999999996,0.016338114099926377,0.04643593165180826
tl,Filipino,Austronesian,961,-0.054758919631812696,-0.11953410677977583,23.5,17.77721,NA,-0.01629925562621509,0,NA,-0.010432916881999373
tr,Turkish,Turkic,681,-0.02918063525166718,-0.2134528589827861,30.9,14.919405000000001,-0.0484223078192629,0.0952475823070029,0.03749999999999998,0.0026285982331292713,0.007735539584278855
zh,Mandarin,Sino-Tibetan,2094.6666666666665,-0.003826926586762019,0.02887293823982623,37.56666666666667,22.29334,NA,0.5351155194480434,0.052631578947368474,NA,0.0032344095940268257
